name,Hex,red,green,blue
Bole,#79443b,121,68,59
Bondi blue,#0095b6,0,149,182
Bone,#e3dac9,227,218,201
Boston University Red,#cc0000,204,0,0
Bottle green,#006a4e,0,106,78
Boysenberry,#873260,135,50,96
Brandeis blue,#0070ff,0,112,255
Brass,#b5a642,181,166,66
Brick red,#cb4154,203,65,84
Bright cerulean,#1dacd6,29,172,214
Bright green,#66ff00,102,255,0
Bright lavender,#bf94e4,191,148,228
Bright maroon,#c32148,195,33,72
Bright pink,#ff007f,255,0,127
Bright turquoise,#08e8de,8,232,222
Bright ube,#d19fe8,209,159,232
Brilliant lavender,#f4bbff,244,187,255
Brilliant rose,#ff55a3,255,85,163
Brink pink,#fb607f,251,96,127
British racing green,#004225,0,66,37
Bronze,#cd7f32,205,127,50
Brown,#a52a2a,165,42,42
Bubble gum,#ffc1cc,255,193,204
Bubbles,#e7feff,231,254,255
Buff,#f0dc82,240,220,130
Bulgarian rose,#480607,72,6,7
Burgundy,#800020,128,0,32
Burlywood,#deb887,222,184,135
Burnt orange,#cc5500,204,85,0
Burnt sienna,#e97451,233,116,81
Burnt umber,#8a3324,138,51,36
Byzantine,#bd33a4,189,51,164
Byzantium,#702963,112,41,99
CG Blue,#007aa5,0,122,165
CG Red,#e03c31,224,60,49
Cadet,#536872,83,104,114
Cadet blue,#5f9ea0,95,158,160
Cadet grey,#91a3b0,145,163,176
Cadmium green,#006b3c,0,107,60
Cadmium orange,#ed872d,237,135,45
Cadmium red,#e30022,227,0,34
Cadmium yellow,#fff600,255,246,0
Café au lait,#a67b5b,166,123,91
Café noir,#4b3621,75,54,33
Cal Poly Pomona green,#1e4d2b,30,77,43
Cambridge Blue,#a3c1ad,163,193,173
Camel,#c19a6b,193,154,107
Camouflage green,#78866b,120,134,107
Canary,#ffff99,255,255,153
Canary yellow,#ffef00,255,239,0
Candy apple red,#ff0800,255,8,0
Candy pink,#e4717a,228,113,122
Capri,#00bfff,0,191,255
Caput mortuum,#592720,89,39,32
Cardinal,#c41e3a,196,30,58
Caribbean green,#00cc99,0,204,153
Carmine,#ff0040,255,0,64
Carmine pink,#eb4c42,235,76,66
Carmine red,#ff0038,255,0,56
Carnation pink,#ffa6c9,255,166,201
Carnelian,#b31b1b,179,27,27
Carolina blue,#99badd,153,186,221
Carrot orange,#ed9121,237,145,33
Celadon,#ace1af,172,225,175
Celeste,#b2ffff,178,255,255
Celestial blue,#4997d0,73,151,208
Cerise,#de3163,222,49,99
Cerise pink,#ec3b83,236,59,131
Cerulean,#007ba7,0,123,167
Cerulean blue,#2a52be,42,82,190
Chamoisee,#a0785a,160,120,90
Champagne,#fad6a5,250,214,165
Charcoal,#36454f,54,69,79
Chartreuse,#7fff00,127,255,0
Cherry,#de3163,222,49,99
Cherry blossom pink,#ffb7c5,255,183,197
Chestnut,#cd5c5c,205,92,92
Chocolate,#d2691e,210,105,30
Chrome yellow,#ffa700,255,167,0
Cinereous,#98817b,152,129,123
Cinnabar,#e34234,227,66,52
Cinnamon,#d2691e,210,105,30
Citrine,#e4d00a,228,208,10
Classic rose,#fbcce7,251,204,231
Cobalt,#0047ab,0,71,171
Cocoa brown,#d2691e,210,105,30
Coffee,#6f4e37,111,78,55
Columbia blue,#9bddff,155,221,255
Cool black,#002e63,0,46,99
Cool grey,#8c92ac,140,146,172
Copper,#b87333,184,115,51
Copper rose,#996666,153,102,102
Coquelicot,#ff3800,255,56,0
Coral,#ff7f50,255,127,80
Coral pink,#f88379,248,131,121
Coral red,#ff4040,255,64,64
Cordovan,#893f45,137,63,69
Corn,#fbec5d,251,236,93
Cornell Red,#b31b1b,179,27,27
Cornflower,#9aceeb,154,206,235
Cornflower blue,#6495ed,100,149,237
Cornsilk,#fff8dc,255,248,220
Cosmic latte,#fff8e7,255,248,231
Cotton candy,#ffbcd9,255,188,217
Cream,#fffdd0,255,253,208
Crimson,#dc143c,220,20,60
Crimson Red,#990000,153,0,0
Crimson glory,#be0032,190,0,50
Cyan,#00ffff,0,255,255
Daffodil,#ffff31,255,255,49
Dandelion,#f0e130,240,225,48
Dark blue,#00008b,0,0,139
Dark brown,#654321,101,67,33
Dark byzantium,#5d3954,93,57,84
Dark candy apple red,#a40000,164,0,0
Dark cerulean,#08457e,8,69,126
Dark chestnut,#986960,152,105,96
Dark coral,#cd5b45,205,91,69
Dark cyan,#008b8b,0,139,139
Dark electric blue,#536878,83,104,120
Dark goldenrod,#b8860b,184,134,11
Dark gray,#a9a9a9,169,169,169
Dark green,#013220,1,50,32
Dark jungle green,#1a2421,26,36,33
Dark khaki,#bdb76b,189,183,107
Dark lava,#483c32,72,60,50
Dark lavender,#734f96,115,79,150
Dark magenta,#8b008b,139,0,139
Dark midnight blue,#003366,0,51,102
Dark olive green,#556b2f,85,107,47
Dark orange,#ff8c00,255,140,0
Dark orchid,#9932cc,153,50,204
Dark pastel blue,#779ecb,119,158,203
Dark pastel green,#03c03c,3,192,60
Dark pastel purple,#966fd6,150,111,214
Dark pastel red,#c23b22,194,59,34
Dark pink,#e75480,231,84,128
Dark powder blue,#003399,0,51,153
Dark raspberry,#872657,135,38,87
Dark red,#8b0000,139,0,0
Dark salmon,#e9967a,233,150,122
Dark scarlet,#560319,86,3,25
Dark sea green,#8fbc8f,143,188,143
Dark sienna,#3c1414,60,20,20
Dark slate blue,#483d8b,72,61,139
Dark slate gray,#2f4f4f,47,79,79
Dark spring green,#177245,23,114,69
Dark tan,#918151,145,129,81
Dark tangerine,#ffa812,255,168,18
Dark taupe,#483c32,72,60,50
Dark terra cotta,#cc4e5c,204,78,92
Dark turquoise,#00ced1,0,206,209
Dark violet,#9400d3,148,0,211
Dartmouth green,#00693e,0,105,62
Davy grey,#555555,85,85,85
Debian red,#d70a53,215,10,83
Deep carmine,#a9203e,169,32,62
Deep carmine pink,#ef3038,239,48,56
Deep carrot orange,#e9692c,233,105,44
Deep cerise,#da3287,218,50,135
Deep champagne,#fad6a5,250,214,165
Deep chestnut,#b94e48,185,78,72
Deep coffee,#704241,112,66,65
Deep fuchsia,#c154c1,193,84,193
Deep jungle green,#004b49,0,75,73
Deep lilac,#9955bb,153,85,187
Deep magenta,#cc00cc,204,0,204
Deep peach,#ffcba4,255,203,164
Deep pink,#ff1493,255,20,147
Deep saffron,#ff9933,255,153,51
Deep sky blue,#00bfff,0,191,255
Denim,#1560bd,21,96,189
Desert,#c19a6b,193,154,107
Desert sand,#edc9af,237,201,175
Dim gray,#696969,105,105,105
Dodger blue,#1e90ff,30,144,255
Dogwood rose,#d71868,215,24,104
Dollar bill,#85bb65,133,187,101
Drab,#967117,150,113,23
Duke blue,#00009c,0,0,156
Earth yellow,#e1a95f,225,169,95
Ecru,#c2b280,194,178,128
Eggplant,#614051,97,64,81
Eggshell,#f0ead6,240,234,214
Egyptian blue,#1034a6,16,52,166
Electric blue,#7df9ff,125,249,255
Electric crimson,#ff003f,255,0,63
Electric cyan,#00ffff,0,255,255
Electric green,#00ff00,0,255,0
Electric indigo,#6f00ff,111,0,255
Electric lavender,#f4bbff,244,187,255
Electric lime,#ccff00,204,255,0
Electric purple,#bf00ff,191,0,255
Electric ultramarine,#3f00ff,63,0,255
Electric violet,#8f00ff,143,0,255
Electric yellow,#ffff00,255,255,0
Emerald,#50c878,80,200,120
Eton blue,#96c8a2,150,200,162
Fallow,#c19a6b,193,154,107
Falu red,#801818,128,24,24
Famous,#ff00ff,255,0,255
Fandango,#b53389,181,51,137
Fashion fuchsia,#f400a1,244,0,161
Fawn,#e5aa70,229,170,112
Feldgrau,#4d5d53,77,93,83
Fern,#71bc78,113,188,120
Fern green,#4f7942,79,121,66
Ferrari Red,#ff2800,255,40,0
Field drab,#6c541e,108,84,30
Fire engine red,#ce2029,206,32,41
Firebrick,#b22222,178,34,34
Flame,#e25822,226,88,34
Flamingo pink,#fc8eac,252,142,172
Flavescent,#f7e98e,247,233,142
Flax,#eedc82,238,220,130
Floral white,#fffaf0,255,250,240
Fluorescent orange,#ffbf00,255,191,0
Fluorescent pink,#ff1493,255,20,147
Fluorescent yellow,#ccff00,204,255,0
Folly,#ff004f,255,0,79
Forest green,#228b22,34,139,34
French beige,#a67b5b,166,123,91
French blue,#0072bb,0,114,187
French lilac,#86608e,134,96,142
French rose,#f64a8a,246,74,138
Fuchsia,#ff00ff,255,0,255
Fuchsia pink,#ff77ff,255,119,255
Fulvous,#e48400,228,132,0
Fuzzy Wuzzy,#cc6666,204,102,102
Gainsboro,#dcdcdc,220,220,220
Gamboge,#e49b0f,228,155,15
Ghost white,#f8f8ff,248,248,255
Ginger,#b06500,176,101,0
Glaucous,#6082b6,96,130,182
Glitter,#e6e8fa,230,232,250
Gold,#ffd700,255,215,0
Golden brown,#996515,153,101,21
Golden poppy,#fcc200,252,194,0
Golden yellow,#ffdf00,255,223,0
Goldenrod,#daa520,218,165,32
Granny Smith Apple,#a8e4a0,168,228,160
Gray,#808080,128,128,128
Gray asparagus,#465945,70,89,69
Green,#00ff00,0,255,0
Green Blue,#1164b4,17,100,180
Green yellow,#adff2f,173,255,47
Grullo,#a99a86,169,154,134
Guppie green,#00ff7f,0,255,127
Halayà úbe,#663854,102,56,84
Han blue,#446ccf,68,108,207
Han purple,#5218fa,82,24,250
Hansa yellow,#e9d66b,233,214,107
Harlequin,#3fff00,63,255,0
Harvard crimson,#c90016,201,0,22
Harvest Gold,#da9100,218,145,0
Heart Gold,#808000,128,128,0
Heliotrope,#df73ff,223,115,255
Hollywood cerise,#f400a1,244,0,161
Honeydew,#f0fff0,240,255,240
Hooker green,#49796b,73,121,107
Hot magenta,#ff1dce,255,29,206
Hot pink,#ff69b4,255,105,180
Hunter green,#355e3b,53,94,59
Icterine,#fcf75e,252,247,94
Inchworm,#b2ec5d,178,236,93
India green,#138808,19,136,8
Indian red,#cd5c5c,205,92,92
Indian yellow,#e3a857,227,168,87
Indigo,#4b0082,75,0,130
International Klein Blue,#002fa7,0,47,167
International orange,#ff4f00,255,79,0
Iris,#5a4fcf,90,79,207
Isabelline,#f4f0ec,244,240,236
Islamic green,#009000,0,144,0
Ivory,#fffff0,255,255,240
Jade,#00a86b,0,168,107
Jasmine,#f8de7e,248,222,126
Jasper,#d73b3e,215,59,62
Jazzberry jam,#a50b5e,165,11,94
Jonquil,#fada5e,250,218,94
June bud,#bdda57,189,218,87
Jungle green,#29ab87,41,171,135
KU Crimson,#e8000d,232,0,13
Kelly green,#4cbb17,76,187,23
Khaki,#c3b091,195,176,145
La Salle Green,#087830,8,120,48
Languid lavender,#d6cadd,214,202,221
Lapis lazuli,#26619c,38,97,156
Laser Lemon,#fefe22,254,254,34
Laurel green,#a9ba9d,169,186,157
Lava,#cf1020,207,16,32
Lavender,#e6e6fa,230,230,250
Lavender blue,#ccccff,204,204,255
Lavender blush,#fff0f5,255,240,245
Lavender gray,#c4c3d0,196,195,208
Lavender indigo,#9457eb,148,87,235
Lavender magenta,#ee82ee,238,130,238
Lavender mist,#e6e6fa,230,230,250
Lavender pink,#fbaed2,251,174,210
Lavender purple,#967bb6,150,123,182
Lavender rose,#fba0e3,251,160,227
Lawn green,#7cfc00,124,252,0
Lemon,#fff700,255,247,0
Lemon Yellow,#fff44f,255,244,79
Lemon chiffon,#fffacd,255,250,205
Lemon lime,#bfff00,191,255,0
Light Crimson,#f56991,245,105,145
Light Thulian pink,#e68fac,230,143,172
Light apricot,#fdd5b1,253,213,177
Light blue,#add8e6,173,216,230
Light brown,#b5651d,181,101,29
Light carmine pink,#e66771,230,103,113
Light coral,#f08080,240,128,128
Light cornflower blue,#93ccea,147,204,234
Light cyan,#e0ffff,224,255,255
Light fuchsia pink,#f984ef,249,132,239
Light goldenrod yellow,#fafad2,250,250,210
Light gray,#d3d3d3,211,211,211
Light green,#90ee90,144,238,144
Light khaki,#f0e68c,240,230,140
Light pastel purple,#b19cd9,177,156,217
Light pink,#ffb6c1,255,182,193
Light salmon,#ffa07a,255,160,122
Light salmon pink,#ff9999,255,153,153
Light sea green,#20b2aa,32,178,170
Light sky blue,#87cefa,135,206,250
Light slate gray,#778899,119,136,153
Light taupe,#b38b6d,179,139,109
Light yellow,#ffffed,255,255,237
Lilac,#c8a2c8,200,162,200
Lime,#bfff00,191,255,0
Lime green,#32cd32,50,205,50
Lincoln green,#195905,25,89,5
Linen,#faf0e6,250,240,230
Lion,#c19a6b,193,154,107
Liver,#534b4f,83,75,79
Lust,#e62020,230,32,32
MSU Green,#18453b,24,69,59
Macaroni and Cheese,#ffbd88,255,189,136
Magenta,#ff00ff,255,0,255
Magic mint,#aaf0d1,170,240,209
Magnolia,#f8f4ff,248,244,255
Mahogany,#c04000,192,64,0
Maize,#fbec5d,251,236,93
Majorelle Blue,#6050dc,96,80,220
Malachite,#0bda51,11,218,81
Manatee,#979aaa,151,154,170
Mango Tango,#ff8243,255,130,67
Mantis,#74c365,116,195,101
Maroon,#800000,128,0,0
Mauve,#e0b0ff,224,176,255
Mauve taupe,#915f6d,145,95,109
Mauvelous,#ef98aa,239,152,170
Maya blue,#73c2fb,115,194,251
Meat brown,#e5b73b,229,183,59
Medium Persian blue,#0067a5,0,103,165
Medium aquamarine,#66ddaa,102,221,170
Medium blue,#0000cd,0,0,205
Medium candy apple red,#e2062c,226,6,44
Medium carmine,#af4035,175,64,53
Medium champagne,#f3e5ab,243,229,171
Medium electric blue,#035096,3,80,150
Medium jungle green,#1c352d,28,53,45
Medium lavender magenta,#dda0dd,221,160,221
Medium orchid,#ba55d3,186,85,211
Medium purple,#9370db,147,112,219
Medium red violet,#bb3385,187,51,133
Medium sea green,#3cb371,60,179,113
Medium slate blue,#7b68ee,123,104,238
Medium spring bud,#c9dc87,201,220,135
Medium spring green,#00fa9a,0,250,154
Medium taupe,#674c47,103,76,71
Medium teal blue,#0054b4,0,84,180
Medium turquoise,#48d1cc,72,209,204
Medium violet red,#c71585,199,21,133
Melon,#fdbcb4,253,188,180
Midnight blue,#191970,25,25,112
Midnight green,#004953,0,73,83
Mikado yellow,#ffc40c,255,196,12
Mint,#3eb489,62,180,137
Mint cream,#f5fffa,245,255,250
Mint green,#98ff98,152,255,152
Misty rose,#ffe4e1,255,228,225
Moccasin,#faebd7,250,235,215
Mode beige,#967117,150,113,23
Moonstone blue,#73a9c2,115,169,194
Mordant red 19,#ae0c00,174,12,0
Moss green,#addfad,173,223,173
Mountain Meadow,#30ba8f,48,186,143
Mountbatten pink,#997a8d,153,122,141
Mulberry,#c54b8c,197,75,140
Munsell,#f2f3f4,242,243,244
Mustard,#ffdb58,255,219,88
Myrtle,#21421e,33,66,30
Nadeshiko pink,#f6adc6,246,173,198
Napier green,#2a8000,42,128,0
Naples yellow,#fada5e,250,218,94
Navajo white,#ffdead,255,222,173
Navy blue,#000080,0,0,128
Neon Carrot,#ffa343,255,163,67
Neon fuchsia,#fe59c2,254,89,194
Neon green,#39ff14,57,255,20
Non-photo blue,#a4dded,164,221,237
North Texas Green,#059033,5,144,51
Ocean Boat Blue,#0077be,0,119,190
Ochre,#cc7722,204,119,34
Office green,#008000,0,128,0
Old gold,#cfb53b,207,181,59
Old lace,#fdf5e6,253,245,230
Old lavender,#796878,121,104,120
Old mauve,#673147,103,49,71
Old rose,#c08081,192,128,129
Olive,#808000,128,128,0
Olive Drab,#6b8e23,107,142,35
Olive Green,#bab86c,186,184,108
Olivine,#9ab973,154,185,115
Onyx,#0f0f0f,15,15,15
Opera mauve,#b784a7,183,132,167
Orange,#ffa500,255,165,0
Orange Yellow,#f8d568,248,213,104
Orange peel,#ff9f00,255,159,0
Orange red,#ff4500,255,69,0
Orchid,#da70d6,218,112,214
Otter brown,#654321,101,67,33
Outer Space,#414a4c,65,74,76
Outrageous Orange,#ff6e4a,255,110,74
Oxford Blue,#002147,0,33,71
Pacific Blue,#1ca9c9,28,169,201
Pakistan green,#006600,0,102,0
Palatinate blue,#273be2,39,59,226
Palatinate purple,#682860,104,40,96
Pale aqua,#bcd4e6,188,212,230
Pale blue,#afeeee,175,238,238
Pale brown,#987654,152,118,84
Pale carmine,#af4035,175,64,53
Pale cerulean,#9bc4e2,155,196,226
Pale chestnut,#ddadaf,221,173,175
Pale copper,#da8a67,218,138,103
Pale cornflower blue,#abcdef,171,205,239
Pale gold,#e6be8a,230,190,138
Pale goldenrod,#eee8aa,238,232,170
Pale green,#98fb98,152,251,152
Pale lavender,#dcd0ff,220,208,255
Pale magenta,#f984e5,249,132,229
Pale pink,#fadadd,250,218,221
Pale plum,#dda0dd,221,160,221
Pale red violet,#db7093,219,112,147
Pale robin egg blue,#96ded1,150,222,209
Pale silver,#c9c0bb,201,192,187
Pale spring bud,#ecebbd,236,235,189
Pale taupe,#bc987e,188,152,126
Pale violet red,#db7093,219,112,147
Pansy purple,#78184a,120,24,74
Papaya whip,#ffefd5,255,239,213
Paris Green,#50c878,80,200,120
Pastel blue,#aec6cf,174,198,207
Pastel brown,#836953,131,105,83
Pastel gray,#cfcfc4,207,207,196
Pastel green,#77dd77,119,221,119
Pastel magenta,#f49ac2,244,154,194
Pastel orange,#ffb347,255,179,71
Pastel pink,#ffd1dc,255,209,220
Pastel purple,#b39eb5,179,158,181
Pastel red,#ff6961,255,105,97
Pastel violet,#cb99c9,203,153,201
Pastel yellow,#fdfd96,253,253,150
Patriarch,#800080,128,0,128
Payne grey,#536878,83,104,120
Peach,#ffe5b4,255,229,180
Peach puff,#ffdab9,255,218,185
Peach yellow,#fadfad,250,223,173
Pear,#d1e231,209,226,49
Pearl,#eae0c8,234,224,200
Pearl Aqua,#88d8c0,136,216,192
Peridot,#e6e200,230,226,0
Periwinkle,#ccccff,204,204,255
Persian blue,#1c39bb,28,57,187
Persian indigo,#32127a,50,18,122
Persian orange,#d99058,217,144,88
Persian pink,#f77fbe,247,127,190
Persian plum,#701c1c,112,28,28
Persian red,#cc3333,204,51,51
Persian rose,#fe28a2,254,40,162
Phlox,#df00ff,223,0,255
Phthalo blue,#000f89,0,15,137
Phthalo green,#123524,18,53,36
Piggy pink,#fddde6,253,221,230
Pine green,#01796f,1,121,111
Pink,#ffc0cb,255,192,203
Pink Flamingo,#fc74fd,252,116,253
Pink Sherbet,#f78fa7,247,143,167
Pink pearl,#e7accf,231,172,207
Pistachio,#93c572,147,197,114
Platinum,#e5e4e2,229,228,226
Plum,#dda0dd,221,160,221
Portland Orange,#ff5a36,255,90,54
Powder blue,#b0e0e6,176,224,230
Princeton orange,#ff8f00,255,143,0
Prussian blue,#003153,0,49,83
Psychedelic purple,#df00ff,223,0,255
Puce,#cc8899,204,136,153
Pumpkin,#ff7518,255,117,24
Purple,#800080,128,0,128
Purple Heart,#69359c,105,53,156
Purple Mountain's Majesty,#9d81ba,157,129,186
Purple mountain majesty,#9678b6,150,120,182
Purple pizzazz,#fe4eda,254,78,218
Purple taupe,#50404d,80,64,77
Rackley,#5d8aa8,93,138,168
Radical Red,#ff355e,255,53,94
Raspberry,#e30b5d,227,11,93
Raspberry glace,#915f6d,145,95,109
Raspberry pink,#e25098,226,80,152
Raspberry rose,#b3446c,179,68,108
Raw Sienna,#d68a59,214,138,89
Razzle dazzle rose,#ff33cc,255,51,204
Razzmatazz,#e3256b,227,37,107
Red,#ff0000,255,0,0
Red Orange,#ff5349,255,83,73
Red brown,#a52a2a,165,42,42
Red violet,#c71585,199,21,133
Rich black,#004040,0,64,64
Rich carmine,#d70040,215,0,64
Rich electric blue,#0892d0,8,146,208
Rich lilac,#b666d2,182,102,210
Rich maroon,#b03060,176,48,96
Rifle green,#414833,65,72,51
Robin's Egg Blue,#1fcecb,31,206,203
Rose,#ff007f,255,0,127
Rose bonbon,#f9429e,249,66,158
Rose ebony,#674846,103,72,70
Rose gold,#b76e79,183,110,121
Rose madder,#e32636,227,38,54
Rose pink,#ff66cc,255,102,204
Rose quartz,#aa98a9,170,152,169
Rose taupe,#905d5d,144,93,93
Rose vale,#ab4e52,171,78,82
Rosewood,#65000b,101,0,11
Rosso corsa,#d40000,212,0,0
Rosy brown,#bc8f8f,188,143,143
Royal azure,#0038a8,0,56,168
Royal blue,#4169e1,65,105,225
Royal fuchsia,#ca2c92,202,44,146
Royal purple,#7851a9,120,81,169
Ruby,#e0115f,224,17,95
Ruddy,#ff0028,255,0,40
Ruddy brown,#bb6528,187,101,40
Ruddy pink,#e18e96,225,142,150
Rufous,#a81c07,168,28,7
Russet,#80461b,128,70,27
Rust,#b7410e,183,65,14
Sacramento State green,#00563f,0,86,63
Saddle brown,#8b4513,139,69,19
Safety orange,#ff6700,255,103,0
Saffron,#f4c430,244,196,48
Saint Patrick Blue,#23297a,35,41,122
Salmon,#ff8c69,255,140,105
Salmon pink,#ff91a4,255,145,164
Sand,#c2b280,194,178,128
Sand dune,#967117,150,113,23
Sandstorm,#ecd540,236,213,64
Sandy brown,#f4a460,244,164,96
Sandy taupe,#967117,150,113,23
Sap green,#507d2a,80,125,42
Sapphire,#0f52ba,15,82,186
Satin sheen gold,#cba135,203,161,53
Scarlet,#ff2400,255,36,0
School bus yellow,#ffd800,255,216,0
Screamin Green,#76ff7a,118,255,122
Sea blue,#006994,0,105,148
Sea green,#2e8b57,46,139,87
Seal brown,#321414,50,20,20
Seashell,#fff5ee,255,245,238
Selective yellow,#ffba00,255,186,0
Sepia,#704214,112,66,20
Shadow,#8a795d,138,121,93
Shamrock,#45cea2,69,206,162
Shamrock green,#009e60,0,158,96
Shocking pink,#fc0fc0,252,15,192
Sienna,#882d17,136,45,23
Silver,#c0c0c0,192,192,192
Sinopia,#cb410b,203,65,11
Skobeloff,#007474,0,116,116
Sky blue,#87ceeb,135,206,235
Sky magenta,#cf71af,207,113,175
Slate blue,#6a5acd,106,90,205
Slate gray,#708090,112,128,144
Smalt,#003399,0,51,153
Smokey topaz,#933d41,147,61,65
Smoky black,#100c08,16,12,8
Snow,#fffafa,255,250,250
Spiro Disco Ball,#0fc0fc,15,192,252
Spring bud,#a7fc00,167,252,0
Spring green,#00ff7f,0,255,127
Steel blue,#4682b4,70,130,180
Stil de grain yellow,#fada5e,250,218,94
Stizza,#990000,153,0,0
Stormcloud,#008080,0,128,128
Straw,#e4d96f,228,217,111
Sunglow,#ffcc33,255,204,51
Sunset,#fad6a5,250,214,165
Sunset Orange,#fd5e53,253,94,83
Tan,#d2b48c,210,180,140
Tangelo,#f94d00,249,77,0
Tangerine,#f28500,242,133,0
Tangerine yellow,#ffcc00,255,204,0
Taupe,#483c32,72,60,50
Taupe gray,#8b8589,139,133,137
Tawny,#cd5700,205,87,0
Tea green,#d0f0c0,208,240,192
Tea rose,#f4c2c2,244,194,194
Teal,#008080,0,128,128
Teal blue,#367588,54,117,136
Teal green,#006d5b,0,109,91
Terra cotta,#e2725b,226,114,91
Thistle,#d8bfd8,216,191,216
Thulian pink,#de6fa1,222,111,161
Tickle Me Pink,#fc89ac,252,137,172
Tiffany Blue,#0abab5,10,186,181
Tiger eye,#e08d3c,224,141,60
Timberwolf,#dbd7d2,219,215,210
Titanium yellow,#eee600,238,230,0
Tomato,#ff6347,255,99,71
Toolbox,#746cc0,116,108,192
Topaz,#ffc87c,255,200,124
Tractor red,#fd0e35,253,14,53
Trolley Grey,#808080,128,128,128
Tropical rain forest,#00755e,0,117,94
True Blue,#0073cf,0,115,207
Tufts Blue,#417dc1,65,125,193
Tumbleweed,#deaa88,222,170,136
Turkish rose,#b57281,181,114,129
Turquoise,#30d5c8,48,213,200
Turquoise blue,#00ffef,0,255,239
Turquoise green,#a0d6b4,160,214,180
Tuscan red,#66424d,102,66,77
Twilight lavender,#8a496b,138,73,107
Tyrian purple,#66023c,102,2,60
UA blue,#0033aa,0,51,170
UA red,#d9004c,217,0,76
UCLA Blue,#536895,83,104,149
UCLA Gold,#ffb300,255,179,0
UFO Green,#3cd070,60,208,112
UP Forest green,#014421,1,68,33
UP Maroon,#7b1113,123,17,19
USC Cardinal,#990000,153,0,0
USC Gold,#ffcc00,255,204,0
Ube,#8878c3,136,120,195
Ultra pink,#ff6fff,255,111,255
Ultramarine,#120a8f,18,10,143
Ultramarine blue,#4166f5,65,102,245
Umber,#635147,99,81,71
United Nations blue,#5b92e5,91,146,229
University of California Gold,#b78727,183,135,39
Unmellow Yellow,#ffff66,255,255,102
Upsdell red,#ae2029,174,32,41
Urobilin,#e1ad21,225,173,33
Utah Crimson,#d3003f,211,0,63
Vanilla,#f3e5ab,243,229,171
Vegas gold,#c5b358,197,179,88
Venetian red,#c80815,200,8,21
Verdigris,#43b3ae,67,179,174
Vermilion,#e34234,227,66,52
Veronica,#a020f0,160,32,240
Violet,#ee82ee,238,130,238
Violet Blue,#324ab2,50,74,178
Violet Red,#f75394,247,83,148
Viridian,#40826d,64,130,109
Vivid auburn,#922724,146,39,36
Vivid burgundy,#9f1d35,159,29,53
Vivid cerise,#da1d81,218,29,129
Vivid tangerine,#ffa089,255,160,137
Vivid violet,#9f00ff,159,0,255
Warm black,#004242,0,66,66
Waterspout,#00ffff,0,255,255
Wenge,#645452,100,84,82
Wheat,#f5deb3,245,222,179
White,#ffffff,255,255,255
White smoke,#f5f5f5,245,245,245
Wild Strawberry,#ff43a4,255,67,164
Wild Watermelon,#fc6c85,252,108,133
Wild blue yonder,#a2add0,162,173,208
Wine,#722f37,114,47,55
Wisteria,#c9a0dc,201,160,220
Xanadu,#738678,115,134,120
Yale Blue,#0f4d92,15,77,146
Yellow,#ffff00,255,255,0
Yellow Orange,#ffae42,255,174,66
Yellow green,#9acd32,154,205,50
Zaffre,#0014a8,0,20,168
Zinnwaldite brown,#2c1608,44,22,8
